journey_minutes,time_of_day,direction,target_city,target_city_name
87,2,0,0,Kurunegala
257,0,0,3,Anuradhapura
174,0,0,1,Dambulla
166,0,0,1,Dambulla
88,2,0,0,Kurunegala
264,0,0,3,Anuradhapura
205,2,0,2,Kekirawa
80,1,0,0,Kurunegala
105,0,1,1,Dambulla
259,0,0,3,Anuradhapura
201,1,0,2,Kekirawa
269,2,0,3,Anuradhapura
207,2,0,2,Kekirawa
135,2,1,2,Kurunegala
80,2,0,0,Kurunegala
260,1,0,3,Anuradhapura
200,2,1,3,Colombo
171,3,0,1,Dambulla
206,3,0,2,Kekirawa
178,1,0,1,Dambulla
170,1,0,1,Dambulla
85,0,1,0,Kekirawa
115,1,1,1,Dambulla
197,2,1,3,Colombo
171,2,0,1,Dambulla
179,2,0,1,Dambulla
112,0,1,1,Dambulla
112,1,1,1,Dambulla
80,1,1,0,Kekirawa
197,0,1,3,Colombo
202,2,1,3,Colombo
197,0,1,3,Colombo
200,3,1,3,Colombo
258,0,0,3,Anuradhapura
146,3,1,2,Kurunegala
147,0,1,2,Kurunegala
198,2,0,2,Kekirawa
143,3,1,2,Kurunegala
111,0,1,1,Dambulla
207,2,0,2,Kekirawa
119,1,1,1,Dambulla
115,2,1,1,Dambulla
112,1,1,1,Dambulla
111,1,1,1,Dambulla
207,2,1,3,Colombo
175,1,0,1,Dambulla
263,3,0,3,Anuradhapura
146,0,1,2,Kurunegala
115,0,1,1,Dambulla
175,1,0,1,Dambulla
169,2,0,1,Dambulla
172,3,0,1,Dambulla
141,3,1,2,Kurunegala
142,2,1,2,Kurunegala
149,2,1,2,Kurunegala
107,0,1,1,Dambulla
195,0,1,3,Colombo
261,0,0,3,Anuradhapura
143,2,1,2,Kurunegala
268,0,0,3,Anuradhapura
105,1,1,1,Dambulla
119,3,1,1,Dambulla
116,1,1,1,Dambulla
117,0,1,1,Dambulla
88,3,1,0,Kekirawa
75,2,0,0,Kurunegala
85,2,1,0,Kekirawa
203,1,1,3,Colombo
179,3,0,1,Dambulla
146,1,1,2,Kurunegala
256,1,0,3,Anuradhapura
257,2,0,3,Anuradhapura
89,1,1,0,Kekirawa
263,2,0,3,Anuradhapura
89,3,0,0,Kurunegala
195,2,0,2,Kekirawa
83,3,1,0,Kekirawa
176,3,0,1,Dambulla
75,3,1,0,Kekirawa
205,3,1,3,Colombo
143,0,1,2,Kurunegala
75,3,1,0,Kekirawa
140,2,1,2,Kurunegala
167,1,0,1,Dambulla
169,0,0,1,Dambulla
135,2,1,2,Kurunegala
201,2,0,2,Kekirawa
147,2,1,2,Kurunegala
79,2,1,0,Kekirawa
202,2,1,3,Colombo
142,2,1,2,Kurunegala
89,3,1,0,Kekirawa
200,3,0,2,Kekirawa
81,0,0,0,Kurunegala
196,1,0,2,Kekirawa
145,1,1,2,Kurunegala
176,3,0,1,Dambulla
176,1,0,1,Dambulla
196,3,1,3,Colombo
201,0,0,2,Kekirawa
82,3,0,0,Kurunegala
84,1,0,0,Kurunegala
77,0,0,0,Kurunegala
172,1,0,1,Dambulla
204,1,1,3,Colombo
259,3,0,3,Anuradhapura
258,0,0,3,Anuradhapura
267,3,0,3,Anuradhapura
